stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
INTC,2020-03-28,5661000000,5661000000,586000000,7812000000,12628000000,19828000000,953000000,135000000,7200000000,7200000000,12016000000,1541000000,5661000000,6614000000,3275000000,,,
INTC,2019-12-28,6905000000,6905000000,1166000000,8331000000,13307000000,20209000000,1163000000,108000000,6902000000,6902000000,11878000000,1542000000,6905000000,8068000000,3384000000,,,
INTC,2019-09-28,5990000000,5990000000,168000000,7895000000,12639000000,19190000000,729000000,107000000,6551000000,6551000000,11295000000,1486000000,5990000000,6719000000,3208000000,,,
INTC,2019-06-29,4179000000,4179000000,77000000,6627000000,11704000000,16505000000,545000000,135000000,4801000000,4801000000,9878000000,1589000000,4179000000,4724000000,3438000000,,,
RTX,2019-12-31,5537000000,5948000000,2030000000,56834000000,66773000000,77046000000,2295000000,1773000000,10273000000,10273000000,20212000000,7399000000,5537000000,8243000000,3015000000,475000000,2552000000,
RTX,2018-12-31,5269000000,5654000000,236000000,49985000000,57985000000,66501000000,2626000000,1225000000,8516000000,8516000000,16516000000,6189000000,5269000000,8280000000,2462000000,651000000,2273000000,
RTX,2017-12-31,4552000000,4920000000,382000000,44201000000,51692000000,59837000000,2843000000,1017000000,8145000000,8145000000,15636000000,5856000000,4552000000,7763000000,2427000000,792000000,1942000000,
RTX,2016-12-31,5055000000,5436000000,945000000,41471000000,49166000000,57244000000,1697000000,997000000,8078000000,8078000000,15773000000,6007000000,5055000000,7133000000,2376000000,688000000,1886000000,
RTX,2020-03-31,83000000,14000000,1137000000,13402000000,16118000000,18210000000,941000000,400000000,2092000000,2092000000,4808000000,2018000000,83000000,955000000,671000000,2619000000,27000000,
RTX,2019-12-31,1143000000,1267000000,262000000,14622000000,17696000000,19551000000,326000000,450000000,1855000000,1855000000,4929000000,2416000000,1143000000,1593000000,812000000,2552000000,154000000,
RTX,2019-09-30,1148000000,1257000000,397000000,14211000000,16711000000,19496000000,1131000000,435000000,2785000000,2785000000,5285000000,1801000000,1148000000,2388000000,732000000,2458000000,33000000,
RTX,2019-06-30,1900000000,1999000000,342000000,14413000000,16852000000,19634000000,441000000,438000000,2782000000,2782000000,5221000000,1890000000,1900000000,2440000000,743000000,2332000000,194000000,
QCOM,2019-09-29,4386000000,4386000000,600000000,8599000000,16192000000,24273000000,3095000000,627000000,8081000000,8081000000,15674000000,2195000000,4386000000,7481000000,5398000000,,,
QCOM,2018-09-30,4964000000,4964000000,3936000000,10244000000,18283000000,22611000000,5356000000,768000000,4328000000,4328000000,12367000000,2432000000,4964000000,392000000,5625000000,,,
QCOM,2017-09-24,2445000000,2444000000,1595000000,9792000000,17676000000,22258000000,543000000,494000000,4582000000,4582000000,12466000000,2429000000,2445000000,2987000000,5455000000,,,
QCOM,2016-09-25,5705000000,5702000000,21000000,9315000000,16742000000,23554000000,1131000000,297000000,6812000000,6812000000,14239000000,2286000000,5705000000,6833000000,5141000000,,,
QCOM,2020-03-29,468000000,468000000,370000000,2297000000,4248000000,5216000000,130000000,146000000,968000000,968000000,2919000000,483000000,468000000,598000000,1468000000,,,
QCOM,2019-12-29,925000000,925000000,83000000,2113000000,4047000000,5077000000,22000000,148000000,1030000000,1030000000,2964000000,528000000,925000000,947000000,1406000000,,,
QCOM,2019-09-29,506000000,506000000,504000000,2416000000,4704000000,4814000000,108000000,150000000,110000000,110000000,2398000000,844000000,506000000,614000000,1444000000,,,
QCOM,2019-06-30,2149000000,2149000000,249000000,2018000000,3885000000,9635000000,3352000000,160000000,5750000000,5750000000,7617000000,488000000,2149000000,5501000000,1379000000,,,
TXN,2019-12-31,4985000000,5017000000,46000000,5219000000,8701000000,14383000000,711000000,170000000,5682000000,5682000000,9164000000,1650000000,5017000000,5728000000,1544000000,,,
TXN,2018-12-31,5537000000,5580000000,2000000,5507000000,9100000000,15784000000,1106000000,125000000,6684000000,6684000000,10277000000,1716000000,5580000000,6686000000,1559000000,,,
TXN,2017-12-31,3648000000,3682000000,46000000,5347000000,8927000000,14961000000,2398000000,78000000,6034000000,6034000000,9614000000,1754000000,3682000000,6080000000,1508000000,,,
TXN,2016-12-31,3550000000,3595000000,146000000,5113000000,8586000000,13370000000,1335000000,80000000,4784000000,4784000000,8257000000,1798000000,3595000000,4930000000,1356000000,,,
TXN,2020-03-31,1168000000,1174000000,10000000,1241000000,2095000000,3329000000,50000000,45000000,1234000000,1234000000,2088000000,427000000,1174000000,1224000000,377000000,,,
TXN,2019-12-31,1063000000,1070000000,1000000,1253000000,2094000000,3350000000,187000000,45000000,1256000000,1256000000,2097000000,377000000,1070000000,1257000000,386000000,,,
TXN,2019-09-30,1416000000,1425000000,3000000,1325000000,2194000000,3771000000,155000000,43000000,1577000000,1577000000,2446000000,411000000,1425000000,1580000000,379000000,,,
