stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
AMAT,2019-07-28,890000000,3539000000,5312000000,2489000000,4547000000,1650000000,10042000000,1513000000,137000000,1836000000,3785000000,3014000000,2031000000,23233000000,3399000000,1592000000,23880000000,82000000,9000000,18805000000,2241000000,,8116000000,10689000000,7460000000,170000000,547000000,,
AMD,2019-12-28,1201000000,982000000,486000000,1866000000,2328000000,58000000,4597000000,705000000,,22000000,2359000000,1466000000,169000000,53000000,289000000,157000000,7095000000,10000000,12000000,6028000000,31000000,,2827000000,3201000000,9963000000,210000000,,,
AMD,2018-12-29,1041000000,845000000,1114000000,1251000000,751000000,58000000,3540000000,348000000,,15000000,1984000000,1078000000,95000000,58000000,289000000,192000000,7436000000,11000000,10000000,4556000000,24000000,,1266000000,3290000000,8750000000,226000000,,,
AMD,2017-12-30,796000000,694000000,1325000000,457000000,68000000,58000000,2634000000,261000000,,11000000,1513000000,1185000000,71000000,102000000,289000000,118000000,7775000000,191000000,9000000,3552000000,133000000,,596000000,2956000000,8464000000,239000000,,,
AMD,2016-12-31,823000000,751000000,1435000000,311000000,107000000,59000000,2530000000,164000000,,11000000,1346000000,1264000000,45000000,124000000,289000000,124000000,7803000000,109000000,9000000,3321000000,156000000,,416000000,2905000000,8334000000,234000000,,,
AMD,2020-03-28,840000000,1056000000,488000000,1695000000,2554000000,58000000,4390000000,761000000,,,1985000000,1330000000,172000000,68000000,289000000,143000000,6933000000,8000000,12000000,5864000000,75000000,,3037000000,2827000000,10026000000,194000000,55000000,,
AMD,2019-12-28,1201000000,982000000,486000000,1866000000,2328000000,58000000,4597000000,705000000,,,2359000000,1466000000,169000000,53000000,289000000,157000000,7095000000,10000000,12000000,6028000000,31000000,,2827000000,3201000000,9963000000,210000000,37000000,,
AMD,2019-09-28,978000000,1040000000,872000000,1410000000,1667000000,59000000,3912000000,658000000,,,1864000000,1156000000,115000000,60000000,289000000,140000000,7265000000,11000000,11000000,5253000000,54000000,,2176000000,3077000000,9490000000,220000000,53000000,,
AMD,2019-06-29,1029000000,1015000000,1031000000,1363000000,1381000000,58000000,3754000000,670000000,,,1804000000,963000000,100000000,50000000,289000000,155000000,7385000000,13000000,11000000,5102000000,50000000,,1901000000,3201000000,9325000000,231000000,165000000,,
AMGN,2019-12-31,1371000000,3584000000,26950000000,4652000000,24443000000,799000000,18440000000,5397000000,528000000,,12835000000,6037000000,955000000,528000000,14703000000,9861000000,21330000000,354000000,31531000000,59707000000,1510000000,,9673000000,50034000000,,19413000000,2874000000,,
AMGN,2018-12-31,1207000000,2940000000,29510000000,4201000000,9642000000,683000000,37618000000,4958000000,769000000,,13488000000,6945000000,1015000000,769000000,14699000000,10918000000,17977000000,266000000,31246000000,66416000000,1449000000,,12500000000,53916000000,,7443000000,22359000000,,
AMGN,2017-12-31,1352000000,2834000000,34190000000,3237000000,1871000000,1027000000,49476000000,4989000000,679000000,,9020000000,3800000000,1092000000,679000000,14761000000,11503000000,5072000000,1727000000,30992000000,79954000000,1408000000,,25241000000,54713000000,,8609000000,37878000000,,
AMGN,2016-12-31,917000000,2745000000,30193000000,3165000000,4845000000,813000000,46010000000,4961000000,471000000,,11204000000,3241000000,812000000,471000000,14751000000,6354000000,438000000,2015000000,30784000000,77626000000,1286000000,,29875000000,47751000000,,10279000000,34844000000,,
AMGN,2020-03-31,1338000000,3682000000,30008000000,5009000000,23851000000,3334000000,18813000000,4879000000,662000000,,11827000000,7687000000,1307000000,662000000,14683000000,10349000000,21378000000,2110000000,31525000000,61669000000,,,9485000000,52184000000,,18653000000,325000000,1840000000,
AMGN,2019-12-31,1371000000,3584000000,26950000000,4652000000,24443000000,799000000,18440000000,5397000000,528000000,,12835000000,6037000000,955000000,528000000,14703000000,9861000000,21330000000,354000000,31531000000,59707000000,,,9673000000,50034000000,,19413000000,2874000000,2953000000,
