Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
RCPI,"Rock Creek Pharmaceuticals, Inc.",,,"Rock Creek Pharmaceuticals, Inc. - Common Stock",United States
RCPT,"Receptos, Inc.",,,"Receptos, Inc. - Common Stock",Germany
RDCM,Radcom,Information Technology,"Computers, Phones & Household Electronics",Radcom Ltd. - Ordinary Shares,Israel
RDEN,"Elizabeth Arden, Inc.",,,"Elizabeth Arden, Inc. - Common Stock",United States
RDHL,Redhill Biopharm,Health Care,Pharmaceuticals,Redhill Biopharma Ltd. - American Depositary Shares,Israel
RDI,Reading Intl,Real Estate,Hotels & Entertainment Services,Reading International Inc - Class A Non-voting Common Stock,United States
RDIB,Reading Intl,Real Estate,Hotels & Entertainment Services,Reading International Inc - Class B Voting Common Stock,United States
RDNT,RadNet,Health Care,Healthcare Providers & Services,"RadNet, Inc. - Common Stock",United States
RDUS,Radius Health,Health Care,Biotechnology & Medical Research,"Radius Health, Inc. - Common Stock",United States
RDVY,First Trust NASDAQ Rising Dividend Achievers ETF,,,First Trust NASDAQ Rising Dividend Achievers ETF,United States
RDWR,Radware,Information Technology,Software & IT Services,Radware Ltd. - Ordinary Shares,Israel
RE,Everest Re Group Ltd.,Financials,,Everest Re Group Ltd. Common Stock,Bermuda
RECN,"Resources Connection, Inc.",,,"Resources Connection, Inc. - Common Stock",France
REDF,Rediff.com India Limited,,,"Rediff.com India Limited - American Depositary Shares, each represented by one-half of one equity share",United States
REFR,Research Front,Utilities,Media & Publishing,Research Frontiers Incorporated - Common Stock,United States
REG,Regency Center,Real Estate,Residential & Commercial REIT,Regency Centers Corporation Common Stock,United States
REGI,Renewable Energy,Energy,Renewable Energy,"Renewable Energy Group, Inc. - Common Stock",United States
REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,Biotechnology & Medical Research,"Regeneron Pharmaceuticals, Inc. - Common Stock",United States
REIS,"Reis, Inc",,,"Reis, Inc - Common Stock",United States
RELL,Richardson Elec,Industrials,Electronic Equipment & Parts,"Richardson Electronics, Ltd. - Common Stock",United States
RELV,Reliv Intl,Consumer Staples,Food & Tobacco,"Reliv' International, Inc. - Common Stock",United States
REMY,"Remy International, Inc.",,,"Remy International, Inc. - Common Stock",United States
RENT,Rent the Runway,Industrials,Textiles & Apparel,Rentrak Corporation - Common Stock,United States
REPH,"Recro Pharma, Inc.",,,"Recro Pharma, Inc. - Common Stock",United States
RESN,Resonant Inc.,,,Resonant Inc. - Common Stock,United States
REXI,"Resource America, Inc.",,,"Resource America, Inc. - Class A Common Stock",United States
REXX,Rex Energy Corporation,,,Rex Energy Corporation - Common Stock,Malaysia
RF,Regions Financial Corp.,Financials,,Regions Financial Corporation Common Stock,United States
RFIL,RF Ind,Industrials,"Machinery, Equipment & Components","RF Industries, Ltd. - Common Stock",United States
RGCO,RGC Rsrce,Utilities,Natural Gas Utilities,RGC Resources Inc. - Common Stock,United States
RGDO,"Regado BioSciences, Inc.",,,"Regado BioSciences, Inc. - Common Stock",United States
RGDX,"Response Genetics, Inc.",,,"Response Genetics, Inc. - Common Stock",United States
RGEN,Repligen Corp,Health Care,Healthcare Equipment & Supplies,Repligen Corporation - Common Stock,United States
RGLD,"ROYAL GOLD, INC.",Metals & Mining,Metals & Mining,"Royal Gold, Inc. - Common Stock",United States
RGLS,Regulus,Health Care,Biotechnology & Medical Research,Regulus Therapeutics Inc. - Common Stock,United States
RGSE,"Real Goods Solar, Inc.",,,"Real Goods Solar, Inc. - Class A Common Stock",Taiwan
RHI,Robert Half,Utilities,Professional & Commercial Services,Robert Half International Inc. Common Stock,United States
RIBT,RiceBran Tech,Consumer Staples,Food & Tobacco,RiceBran Technologies - Common Stock,United States
RIBTW,RiceBran Technologies,,,RiceBran Technologies - Warrant,United States
RICK,RCI Hospitality,Real Estate,Hotels & Entertainment Services,"RCI Hospitality Holdings, Inc. - Common Stock",United States
RIGL,Rigel Pharms,Health Care,Biotechnology & Medical Research,"Rigel Pharmaceuticals, Inc. - Common Stock",United States
RITT,RT RIT TEH,Communication Services,Communications & Networking,RIT Technologies Ltd. - ordinary shares,United States
RITTW,RIT Technologies Ltd.,,,RIT Technologies Ltd. - Warrants,United States
RIVR,River Valley Bancorp.,,,River Valley Bancorp. - Common Stock,United States
